No,title,author,cost,review,sales_volume
80,엑셀과 파워포인트 2021,김지연 저,"24,000",10.0,"판매지수 4,596"
81,파이썬 마스터,"김종훈, 김동건 저","32,000",리뷰 없음,"판매지수 3,252"
82,누구나 쉽게 배우는 인공지능 스타트 with 챗GPT,박동규 저,"29,000",10.0,"판매지수 5,076"
83,혼자 공부하는 네트워크,강민철 저,"25,200",9.8,"판매지수 11,424"
84,MySQL로 배우는 데이터베이스 개론과 실습,"박우창, 남송휘, 이현룡 저","30,000",8.0,"판매지수 3,876"
85,따라하며 배우는 파이썬과 데이터 과학,"천인국, 박동규, 강영민 저","29,000",10.0,"판매지수 5,568"
86,실습과 함께하는 정보보호개론,장상수 저,"19,000",리뷰 없음,"판매지수 1,188"
87,으뜸 컴퓨터 개론,박동규 저,"28,000",10.0,"판매지수 3,306"
88,정보통신 배움터,"정진욱, 안성진, 김현철, 이원혁, 유수현 저","31,000",리뷰 없음,"판매지수 1,530"
89,회사는 엑셀을 가르쳐주지 않아요,쏘피(박성희) 저,"16,200",9.7,"판매지수 21,897"
90,데이터베이스 개론,김연희 저,"29,000",9.1,"판매지수 7,056"
91,디지털 논리회로 실험,"임석구, 홍경호 저","25,000",9.0,"판매지수 1,956"
92,Perfect C,"강환수, 강환일, 이동규 저","30,400",7.5,"판매지수 8,286"
93,난생처음 파이썬 프로그래밍,"우재남, 최민아 저","24,000",9.3,"판매지수 10,545"
94,컴퓨터 활용과 실습 2019,"김경희, 김혜란 저","25,000",8.0,"판매지수 2,586"
95,파이썬 자료구조와 알고리즘 for Beginner,우재남 저,"27,000",9.5,"판매지수 2,940"
96,손에 잡히는 데이터 통신,임석구 저,"29,000",9.3,"판매지수 4,077"
97,오라클로 배우는 데이터베이스 개론과 실습,"박우창, 남송휘, 이현룡 저","29,000",5.0,판매지수 642
98,인공지능 시대를 위한 컴퓨터 과학 개론,정기철 저,"27,000",리뷰 없음,"판매지수 2,700"
99,컴퓨터 네트워크,"정진욱, 안성진, 김현철, 조강홍, 유수현 공저","34,000",6.0,"판매지수 1,047"
100,알기 쉬운 정보보호개론,"히로시 유키 저 / 이재광, 전태일, 조재신 공역","29,000",8.6,"판매지수 3,750"
101,AI의 선택을 부르는 AEO GEO 생존 전략,이재홍 저,"17,100",10.0,"판매지수 1,932"
102,QA를 넘어 개발자도 알아야 할 AI 에이전트 품질 가이드,"정상미, 김성수 저","25,200",리뷰 없음,"판매지수 2,049"
103,교실로 온 ON 제미나이,"박찬, 김병석, 전수연, 김지용, 구현희 저 외 3명 정보 더 보기/감추기","19,800",10.0,"판매지수 1,758"
104,처음이지만 프로처럼 쓰는 캔바 (Canva),정다은(시재) 저,"27,000",리뷰 없음,"판매지수 1,506"
105,"우리, 프로그래머들 We, Programmers",로버트 C. 마틴 저/최희철 역,"27,900",9.9,"판매지수 3,294"
106,한 권으로 끝내는 게임 사업 게임 마케팅,알로하팩토리 저,"31,500",10.0,"판매지수 1,722"
107,"광고, UX/UI, 브랜딩에 바로 쓰는 디자인 심리 108",321web(미쓰이 마사유키) 저/김현미 역,"16,200",10.0,"판매지수 3,564"
108,포토샵+일러스트레이터 CC 2026 무작정 따라하기,"문수민, 민지영, 앤미디어, 전은재 저","23,400",9.9,"판매지수 4,026"
109,명품 자바 에센셜,황기태 저,"31,000",리뷰 없음,"판매지수 2,847"
110,컨텍스트 엔지니어링으로 완성하는 AI 에이전트,박경민 저,"27,000",9.7,판매지수 888
111,이게 되네? 나노바나나 AI 비포&애프터 미친 활용법 71제,쌩초 저,"16,920",10.0,"판매지수 15,702"
112,따라하며 배우는 C 언어,박동규 저,"33,000",10.0,판매지수 756
113,멘토시리즈 일러스트레이터,코리아교육그룹 교육연구소 저,"25,200",10.0,"판매지수 2,670"
114,써니쌤과 함께 처음 시작하는 SNS 디자인 캔바,써니쌤 강성은 저,"17,820",10.0,"판매지수 9,078"
115,AI 엔지니어링,칩 후옌 저/변성윤 역,"36,000",9.9,"판매지수 13,368"
116,AI 캡컷,"민지영, 문수민, 앤미디어 저","23,400",9.9,"판매지수 8,328"
117,CATIA(카티아) 쉽게 따라하기,정경애 저,"28,800",리뷰 없음,"판매지수 2,022"
118,벡터 데이터베이스 설계와 구축,송한림 저,"16,020",9.7,"판매지수 4,362"
119,NEW 우당탕탕 컴퓨터와 친해지기,놀이교육콘텐츠랩 저,"12,600",리뷰 없음,"판매지수 3,312"
120,마법 같은 영상 제작을 위한 스마트폰 촬영 및 편집 with 캡컷,김지희 저,"20,700",9.9,"판매지수 18,540"
